date,tollbooth,license_plate,cornsilk,slate_gray,navajo_white
2020.01.01,1,"GER-X-49",7,3,0
2020.01.01,2,"TF-UD-3934",2,0,2
2020.01.01,2,"BTF-BY-689",3,3,3
2020.01.01,1,"LÖ-ZH-657",0,5,6
2020.01.01,2,"AP-A-858",7,4,2
2020.01.01,2,"GE-CZ-374",5,0,2
2020.01.01,1,"LDK-P-4571",8,7,1
2020.01.01,2,"OG-EG-131",0,1,1
2020.01.01,1,"LM-GL-1241",5,3,7
2020.01.01,2,"ABI-N-9",0,0,1
2020.01.01,3,"PR-D-9183",1,1,1
2020.01.01,2,"MR-PW-5475",2,0,3
2020.01.01,3,"KF-D-95",0,3,4
2020.01.01,3,"LM-QT-719",7,6,3
2020.01.01,2,"OE-C-868",2,4,4
2020.01.01,3,"DU-DP-8",5,4,1
2020.01.01,3,"WT-JM-352",0,0,2
2020.01.01,2,"EA-K-3",0,1,1
2020.01.01,3,"ES-OK-965",5,3,0
2020.01.01,1,"DU-C-161",3,3,1
2020.01.01,3,"WAK-IT-6",8,6,2
2020.01.01,2,"AÖ-ZM-15",0,2,6
2020.01.01,1,"PE-AP-95",1,1,6
2020.01.01,2,"KEH-A-99",1,1,2
2020.01.01,1,"MEI-RW-5",2,1,1
2020.01.01,1,"OD-G-493",2,2,2
2020.01.01,2,"PF-T-3",1,0,7
2020.01.01,2,"K-K-569",1,1,0
2020.01.01,2,"SAD-TZ-61",0,0,1
2020.01.01,3,"EA-Y-926",1,6,0
2020.01.01,3,"RS-K-423",6,5,5
2020.01.01,3,"LIF-DV-2",5,0,0
2020.01.01,1,"BIT-BA-78",5,0,0
2020.01.01,3,"SZ-Q-59",1,0,1
2020.01.01,2,"WE-PQ-4",4,4,0
2020.01.01,2,"AIC-CN-12",1,0,1
2020.01.01,2,"STD-HK-6546",6,0,3
2020.01.01,2,"OHA-C-92",1,2,0
2020.01.01,1,"MÜ-BD-756",4,0,5
2020.01.01,2,"RT-OC-157",4,5,1
