iata,name,city,state,country,lat,long,dst,tz,utc_offset
CRQ,Caravelas Airport,Carlsbad,CA,USA,33.12822222,-117.28022220000001,S,America/Los_Angeles,-7
CMA,Cunnamulla Airport,Camarillo,CA,USA,34.21375472,-119.0943264,O,America/Los_Angeles,-7
IZA,Zona da Mata Regional Airport,Santa Ynez,CA,USA,34.60682028,-120.07556170000001,S,America/Los_Angeles,-7
ITR,Francisco Vilela do Amaral Airport,Burlington,CO,USA,39.2425,-102.28538890000002,S,America/Denver,-6
MKY,Mackay Airport,Marco Island,FL,USA,25.99502778,-81.67252778,O,America/New_York,-4
PEA,Penneshaw Airport,Pella,IA,USA,41.40006667,-92.94588333,O,America/Chicago,-5
CNC,Coconut Island Airport,Chariton,IA,USA,41.01962389,-93.35968028,O,America/Chicago,-5
PPQ,Paraparaumu Airport,Pittsfield,IL,USA,39.63885556,-90.77843111,Z,America/Chicago,-5
CUL,Bachigualato Federal International Airport,Carmi,IL,USA,38.08947917,-88.12306111,S,America/Chicago,-5
CYW,Captain Rogelio Castillo National Airport,Clay Center,KS,USA,39.38713889,-97.15721417,S,America/Chicago,-5
CHT,Chatham Islands-Tuuta Airport,Chillicothe,MO,USA,39.78215278,-93.49568056,Z,America/Chicago,-5
VER,General Heriberto Jara International Airport,Boonville,MO,USA,38.94577556,-92.68277139,S,America/Chicago,-5
MCZ,Zumbi dos Palmares Airport,Williamston,NC,USA,35.86219306,-77.17820278,S,America/New_York,-4
MEB,Melbourne Essendon Airport,Maxton,NC,USA,34.79193917,-79.36584778,O,America/New_York,-4
AMT,Amata Airport,West Union,OH,USA,38.85148778,-83.56627778,O,America/New_York,-4
CQA,Canarana Airport,Celina,OH,USA,40.48408333,-84.56011111,S,America/New_York,-4
BVI,Birdsville Airport,Beaver Falls,PA,USA,40.77248083,-80.39142556,O,America/New_York,-4
MAO,Eduardo Gomes International Airport,Marion,SC,USA,34.18116667,-79.33472222,S,America/New_York,-4
BAZ,Barcelos Airport,New Braunfels,TX,USA,29.7045,-98.04222222,S,America/Chicago,-5
PIL,Carlos Miguel Gimenez Airport,Port Isabel,TX,USA,26.16621,-97.34588611,S,America/Chicago,-5
BVS,Breves Airport,Burlington/Mount Vernon,WA,USA,48.47088889,-122.42086110000001,S,America/Los_Angeles,-7
IIK,Kipnuk,Kipnuk,AK,USA,59.93295111,-164.0305131,,America/Nome,-8
SVS,Stevens Village,Stevens Village,AK,USA,66.00900528,-149.09591530000003,,America/Anchorage,-8
TAL,Ralph M Calhoun Memorial,Tanana,AK,USA,65.17439528,-152.1093886,,America/Anchorage,-8
WCR,Chandalar Lake,Chandalar Lake,AK,USA,67.50451667,-148.48322219999997,,America/Anchorage,-8
WSM,Wiseman,Wiseman,AK,USA,67.40457333,-150.12274169999998,,America/Anchorage,-8
AFE,Kake,Kake,AK,USA,56.96048139,-133.90826940000002,,America/Sitka,-8
KIB,Ivanof Bay SPB,Ivanof Bay,AK,USA,55.89753333,-159.4886689,,America/Anchorage,-8
5Z5,Kantishna,Kantishna,AK,USA,63.54171472,-150.9939547,,America/Anchorage,-8
BCV,Birchwood,Birchwood,AK,USA,61.41612444,-149.50888,,America/Anchorage,-8
KGX,Grayling,Grayling,AK,USA,62.89456056,-160.0649042,,America/Anchorage,-8
