flight_date,airline,tailnumber,flight_number,src,dest,departure_time,arrival_time,flight_time,distance
2019-11-28,9E,N8974C,3280,CHA,DTW,1300,1455,115.0,505.0
2019-11-28,9E,N901XJ,3281,JAX,RDU,700,824,84.0,407.0
2019-11-28,9E,N901XJ,3282,RDU,LGA,900,1039,99.0,431.0
2019-11-28,9E,N912XJ,3283,DTW,ATW,1216,1242,86.0,296.0
2019-11-28,9E,N924XJ,3284,DSM,MSP,1103,1211,68.0,232.0
2019-11-28,9E,N833AY,3285,LGA,PWM,1013,1144,91.0,269.0
2019-11-28,9E,N314PQ,3286,CLE,DTW,1400,1502,62.0,95.0
2019-11-28,9E,N686BR,3288,DTW,LAN,1227,1314,47.0,74.0
2019-11-28,9E,N686BR,3288,LAN,DTW,1350,1440,50.0,74.0
2019-11-28,9E,N147PQ,3289,JFK,ROC,2100,2233,93.0,264.0
2019-11-28,9E,N8869B,3291,DTW,LEX,825,948,83.0,296.0
2019-11-28,9E,N8869B,3291,LEX,DTW,1014,1133,79.0,296.0
2019-11-28,9E,N980EV,3293,EWN,ATL,600,744,104.0,433.0
2019-11-28,9E,N8918B,3294,DTW,TYS,1225,1358,93.0,443.0
2019-11-28,9E,N912XJ,3295,CLE,DTW,1000,1054,54.0,95.0
2019-11-28,9E,N932XJ,3296,LGA,STL,715,906,171.0,888.0
2019-11-28,9E,N932XJ,3296,STL,LGA,945,1307,142.0,888.0
2019-11-28,9E,N695CA,3298,RDU,LGA,1205,1344,99.0,431.0
2019-11-28,9E,N329PQ,3300,GSO,LGA,745,928,103.0,461.0
2019-11-28,9E,N924XJ,3302,MSP,GRB,1345,1454,69.0,252.0
2019-11-28,9E,N310PQ,3303,ATL,CID,927,1034,127.0,694.0
2019-11-28,9E,N927EV,3304,DTW,EVV,1214,1241,87.0,363.0
2019-11-28,9E,N917XJ,3305,AGS,ATL,545,640,55.0,143.0
2019-11-28,9E,N153PQ,3306,DTW,CLE,1600,1659,59.0,95.0
2019-11-28,9E,N8928A,3307,JFK,SYR,945,1101,76.0,209.0
2019-11-28,9E,N910XJ,3310,JFK,BOS,1517,1646,89.0,187.0
2019-11-28,9E,N316PQ,3312,JFK,RDU,1925,2129,124.0,427.0
2019-11-28,9E,N676CA,3314,PIT,DTW,1338,1452,74.0,201.0
2019-11-28,9E,N316PQ,3317,CVG,JFK,1450,1651,121.0,589.0
2019-11-28,9E,N301PQ,3319,DTW,LEX,1225,1342,77.0,296.0
2019-11-28,9E,N293PQ,3324,CVG,MSP,815,924,129.0,596.0
2019-11-28,9E,N937XJ,3327,LGA,RSW,830,1151,201.0,1080.0
2019-11-28,9E,N132EV,3328,MSP,GRR,1000,1228,88.0,408.0
2019-11-28,9E,N132EV,3328,GRR,MSP,1305,1340,95.0,408.0
2019-11-28,9E,N349PQ,3331,LGA,RDU,1200,1353,113.0,431.0
2019-11-28,9E,N819AY,3332,DTW,MDT,855,1023,88.0,371.0
2019-11-28,9E,N306PQ,3335,ATL,RST,1345,1514,149.0,831.0
2019-11-28,9E,N906XJ,3337,ATL,AVL,1325,1420,55.0,164.0
2019-11-28,9E,N906XJ,3337,AVL,ATL,1457,1609,72.0,164.0
2019-11-28,9E,N8839E,3338,BWI,JFK,710,825,75.0,184.0
2019-11-28,9E,N295PQ,3339,SGF,ATL,600,905,125.0,563.0
2019-11-28,9E,N302PQ,3340,LGA,ROC,1010,1146,96.0,254.0
2019-11-28,9E,N302PQ,3340,ROC,LGA,1225,1341,76.0,254.0
2019-11-28,9E,N909XJ,3341,ATW,DTW,855,1115,80.0,296.0
2019-11-28,9E,N835AY,3342,ATL,CSG,1340,1424,44.0,83.0
2019-11-28,9E,N8969A,3343,OAJ,ATL,545,729,104.0,399.0
2019-11-28,9E,N294PQ,3344,MSP,DSM,1130,1243,73.0,232.0
2019-11-28,9E,N146PQ,3347,TLH,ATL,540,649,69.0,223.0
2019-11-28,9E,N314PQ,3348,DTW,BTV,1550,1733,103.0,537.0
2019-11-28,9E,N8837B,3350,JFK,BWI,1815,1936,81.0,184.0
2019-11-28,9E,N337PQ,3351,JFK,IAD,1925,2100,95.0,228.0
2019-11-28,9E,N135EV,3353,DTW,MBS,1224,1319,55.0,98.0
2019-11-28,9E,N916XJ,3354,DTW,CVG,1600,1716,76.0,229.0
2019-11-28,9E,N8683B,3356,TYS,DTW,1230,1411,101.0,443.0
2019-11-28,9E,N686BR,3359,DTW,TYS,1545,1724,99.0,443.0
2019-11-28,9E,N686BR,3360,TYS,DTW,945,1126,101.0,443.0
2019-11-28,9E,N8928A,3364,SYR,JFK,1250,1422,92.0,209.0
2019-11-28,9E,N319PQ,3365,RDU,JFK,1245,1427,102.0,427.0
2019-11-28,9E,N8974C,3366,DTW,CHA,851,1046,115.0,505.0
2019-11-28,9E,N8970D,3369,ATL,CSG,1743,1832,49.0,83.0
2019-11-28,9E,N311PQ,3373,LGA,MCI,940,1210,210.0,1107.0
2019-11-28,9E,N279PQ,3375,MSP,CVG,1009,1306,117.0,596.0
2019-11-28,9E,N329PQ,3376,LGA,GSP,1012,1228,136.0,610.0
2019-11-28,9E,N919XJ,3377,LGA,ORF,800,935,95.0,296.0
2019-11-28,9E,N919XJ,3377,ORF,LGA,1034,1210,96.0,296.0
2019-11-28,9E,N390CA,3380,ATL,EYW,1432,1628,116.0,646.0
2019-11-28,9E,N315PQ,3382,BOS,JFK,1008,1127,79.0,187.0
2019-11-28,9E,N833AY,3383,BGR,LGA,700,852,112.0,378.0
2019-11-28,9E,N906XJ,3384,ATL,CHA,1800,1855,55.0,106.0
2019-11-28,9E,N153PQ,3386,DTW,IND,1210,1320,70.0,231.0
2019-11-28,9E,N153PQ,3386,IND,DTW,1355,1507,72.0,231.0
2019-11-28,9E,N918XJ,3387,CHA,ATL,555,646,51.0,106.0
2019-11-28,9E,N903XJ,3389,RIC,JFK,1400,1526,86.0,288.0
2019-11-28,9E,N937XJ,3390,ROC,LGA,607,728,81.0,254.0
2019-11-28,9E,N131EV,3391,LGA,CLT,750,1006,136.0,544.0
2019-11-28,9E,N336PQ,3392,LGA,ORF,1125,1302,97.0,296.0
2019-11-28,9E,N8847A,3394,EVV,ATL,600,829,89.0,350.0
2019-11-28,9E,N8694A,3396,PWM,JFK,1843,2011,88.0,273.0
2019-11-28,9E,N934XJ,3399,BTR,ATL,1411,1653,102.0,448.0
2019-11-28,9E,N272PQ,3400,JFK,SAV,910,1131,141.0,718.0
2019-11-28,9E,N272PQ,3400,SAV,JFK,1210,1423,133.0,718.0
2019-11-28,9E,N8976E,3402,ATL,OAJ,900,1022,82.0,399.0
2019-11-28,9E,N8976E,3402,OAJ,ATL,1050,1227,97.0,399.0
2019-11-28,9E,N311PQ,3404,CVG,LGA,625,828,123.0,585.0
2019-11-28,9E,N931XJ,3410,DTW,CLE,834,937,63.0,95.0
2019-11-28,9E,N8847A,3412,ATL,GNV,1210,1324,74.0,300.0
2019-11-28,9E,N927XJ,3416,CID,ATL,540,858,138.0,694.0
2019-11-28,9E,N272PQ,3418,PWM,JFK,700,829,89.0,273.0
2019-11-28,9E,N607LR,3419,ATL,TYS,1505,1604,59.0,152.0
2019-11-28,9E,N349PQ,3421,MCI,LGA,605,1001,176.0,1107.0
2019-11-28,9E,N836AY,3422,JFK,BWI,959,1111,72.0,184.0
2019-11-28,9E,N8896A,3423,PHL,RDU,700,836,96.0,337.0
